path,filename,participant,statement,confidence_level,confidence_type,accuracy,free_cued_recall
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s19.wav,'S2_w02_t1_s19.wav',2,19.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s24.wav,'S2_w02_t1_s24.wav',2,24.0,80.0,2.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s32.wav,'S2_w02_t1_s32.wav',2,32.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s59.wav,'S2_w02_t1_s59.wav',2,59.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s44.wav,'S2_w02_t1_s44.wav',2,44.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s78.wav,'S2_w02_t1_s78.wav',2,78.0,,,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s50.wav,'S2_w02_t1_s50.wav',2,50.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s37.wav,'S2_w02_t1_s37.wav',2,37.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s74.wav,'S2_w02_t1_s74.wav',2,74.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s65.wav,'S2_w02_t1_s65.wav',2,65.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s41.wav,'S2_w02_t1_s41.wav',2,41.0,80.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s47.wav,'S2_w02_t1_s47.wav',2,47.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s26.wav,'S2_w02_t1_s26.wav',2,26.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s33.wav,'S2_w02_t1_s33.wav',2,33.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s23.wav,'S2_w02_t1_s23.wav',2,23.0,80.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s18.wav,'S2_w02_t1_s18.wav',2,18.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s39.wav,'S2_w02_t1_s39.wav',2,39.0,100.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s49.wav,'S2_w02_t1_s49.wav',2,49.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s22.wav,'S2_w02_t1_s22.wav',2,22.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s21.wav,'S2_w02_t1_s21.wav',2,21.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s29.wav,'S2_w02_t1_s29.wav',2,29.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s01.wav,'S2_w02_t1_s01.wav',2,1.0,,,0,1
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s62.wav,'S2_w02_t1_s62.wav',2,62.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s04.wav,'S2_w02_t1_s04.wav',2,4.0,,,1,1
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s25.wav,'S2_w02_t1_s25.wav',2,25.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s35.wav,'S2_w02_t1_s35.wav',2,35.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s05.wav,'S2_w02_t1_s05.wav',2,5.0,100.0,1.0,1,1
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s02.wav,'S2_w02_t1_s02.wav',2,2.0,100.0,1.0,1,1
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s46.wav,'S2_w02_t1_s46.wav',2,46.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s61.wav,'S2_w02_t1_s61.wav',2,61.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s15.wav,'S2_w02_t1_s15.wav',2,15.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s81.wav,'S2_w02_t1_s81.wav',2,81.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s52.wav,'S2_w02_t1_s52.wav',2,52.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s42.wav,'S2_w02_t1_s42.wav',2,42.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s75.wav,'S2_w02_t1_s75.wav',2,75.0,,,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s63.wav,'S2_w02_t1_s63.wav',2,63.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s14.wav,'S2_w02_t1_s14.wav',2,14.0,100.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s34.wav,'S2_w02_t1_s34.wav',2,34.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s16.wav,'S2_w02_t1_s16.wav',2,16.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s31.wav,'S2_w02_t1_s31.wav',2,31.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s68.wav,'S2_w02_t1_s68.wav',2,68.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s55.wav,'S2_w02_t1_s55.wav',2,55.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s71.wav,'S2_w02_t1_s71.wav',2,71.0,,,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s11.wav,'S2_w02_t1_s11.wav',2,11.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s80.wav,'S2_w02_t1_s80.wav',2,80.0,80.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s06.wav,'S2_w02_t1_s06.wav',2,6.0,100.0,1.0,1,1
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s51.wav,'S2_w02_t1_s51.wav',2,51.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s66.wav,'S2_w02_t1_s66.wav',2,66.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s17.wav,'S2_w02_t1_s17.wav',2,17.0,60.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s77.wav,'S2_w02_t1_s77.wav',2,77.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s12.wav,'S2_w02_t1_s12.wav',2,12.0,100.0,1.0,0,2
